id,name,state,populationPercent,uniqueness,type,entityType,labelsOrTypes,properties,provider
41,constraint_14b2af96,ONLINE,100.0,UNIQUE,BTREE,NODE,[TableConfig],[id],native-btree-1.0
71,constraint_15ba4e48,ONLINE,100.0,UNIQUE,BTREE,NODE,[LabelBk],[id],native-btree-1.0
49,constraint_1a510375,ONLINE,100.0,UNIQUE,BTREE,NODE,[MemberTag],[tagId],native-btree-1.0
35,constraint_1ed8122d,ONLINE,100.0,UNIQUE,BTREE,NODE,[SyUserRole],[id],native-btree-1.0
67,constraint_1f3e2108,ONLINE,100.0,UNIQUE,BTREE,NODE,[SupervisionFFacility],[rowIndex],native-btree-1.0
15,constraint_34de934c,ONLINE,100.0,UNIQUE,BTREE,NODE,[FileInfo],[id],native-btree-1.0
43,constraint_35961d9f,ONLINE,100.0,UNIQUE,BTREE,NODE,[UdfTest],[rowIndex],native-btree-1.0
89,constraint_36a2eb66,ONLINE,100.0,UNIQUE,BTREE,NODE,[UdfCodeIndustryctgGb],[rowIndex],native-btree-1.0
97,constraint_36ba7d6d,ONLINE,100.0,UNIQUE,BTREE,NODE,[XzzfQueryWhereConfig],[id],native-btree-1.0
101,constraint_3955fcc8,ONLINE,100.0,UNIQUE,BTREE,NODE,[UdfCodeChinaareacodeTree],[rowIndex],native-btree-1.0
65,constraint_3a6431c0,ONLINE,100.0,UNIQUE,BTREE,NODE,[UdfCodeIndustryctgXzzfTree],[rowIndex],native-btree-1.0
33,constraint_3ec4414c,ONLINE,100.0,UNIQUE,BTREE,NODE,[WhereConfig],[id],native-btree-1.0
63,constraint_4254dce4,ONLINE,100.0,UNIQUE,BTREE,NODE,[ItemRelativeLabelValue],[id],native-btree-1.0
81,constraint_43339281,ONLINE,100.0,UNIQUE,BTREE,NODE,[UseRecord],[id],native-btree-1.0
57,constraint_475214a4,ONLINE,100.0,UNIQUE,BTREE,NODE,[SyLogCopyCopy2],[id],native-btree-1.0
17,constraint_5271c8c5,ONLINE,100.0,UNIQUE,BTREE,NODE,[TestList],[id],native-btree-1.0
91,constraint_52745db8,ONLINE,100.0,UNIQUE,BTREE,NODE,[EnumLabelValueBk],[id],native-btree-1.0
93,constraint_53e9f7a9,ONLINE,100.0,UNIQUE,BTREE,NODE,[ScheduleJobLog],[logId],native-btree-1.0
51,constraint_588e14e4,ONLINE,100.0,UNIQUE,BTREE,NODE,[LabelValue],[id],native-btree-1.0
47,constraint_5d8378d4,ONLINE,100.0,UNIQUE,BTREE,NODE,[ThemeRelativeSourceTable],[id],native-btree-1.0
79,constraint_68671d87,ONLINE,100.0,UNIQUE,BTREE,NODE,[SyOss],[id],native-btree-1.0
99,constraint_6ac1cecf,ONLINE,100.0,UNIQUE,BTREE,NODE,[SyLog],[id],native-btree-1.0
45,constraint_6d72eeff,ONLINE,100.0,UNIQUE,BTREE,NODE,[SyLogCopy],[id],native-btree-1.0
53,constraint_6e40e774,ONLINE,100.0,UNIQUE,BTREE,NODE,[LabelValueTree],[id],native-btree-1.0
73,constraint_73ed2d28,ONLINE,100.0,UNIQUE,BTREE,NODE,[SyLogCopy1],[id],native-btree-1.0
19,constraint_8f38307a,ONLINE,100.0,UNIQUE,BTREE,NODE,[FieldRelativeLabel],[id],native-btree-1.0
83,constraint_928ed76b,ONLINE,100.0,UNIQUE,BTREE,NODE,[SyUserToken],[userId],native-btree-1.0
61,constraint_9950699b,ONLINE,100.0,UNIQUE,BTREE,NODE,[LabelUploadStatistics],[id],native-btree-1.0
37,constraint_9ce73d9b,ONLINE,100.0,UNIQUE,BTREE,NODE,[SyUser],[userId],native-btree-1.0
59,constraint_a05d5b4d,ONLINE,100.0,UNIQUE,BTREE,NODE,[SyMenu],[menuId],native-btree-1.0
87,constraint_b1c9d3b2,ONLINE,100.0,UNIQUE,BTREE,NODE,[TmpLabelEnglishName],[rowIndex],native-btree-1.0
69,constraint_b236262c,ONLINE,100.0,UNIQUE,BTREE,NODE,[LabelRelativeTestList],[id],native-btree-1.0
77,constraint_b9ffa591,ONLINE,100.0,UNIQUE,BTREE,NODE,[SyLogCopy1Copy1],[id],native-btree-1.0
31,constraint_c42d6898,ONLINE,100.0,UNIQUE,BTREE,NODE,[ItemRelativeLabel],[id],native-btree-1.0
85,constraint_cfcf9e57,ONLINE,100.0,UNIQUE,BTREE,NODE,[DimLabelcodeIndustryCategoryTree],[rowIndex],native-btree-1.0
95,constraint_d96fd99,ONLINE,100.0,UNIQUE,BTREE,NODE,[QzfxyjQueryConfigValue],[id],native-btree-1.0
75,constraint_ded9dd1d,ONLINE,100.0,UNIQUE,BTREE,NODE,[UdfCodeChinaareacode],[rowIndex],native-btree-1.0
39,constraint_e00fd6fd,ONLINE,100.0,UNIQUE,BTREE,NODE,[SyRole],[roleId],native-btree-1.0
55,constraint_f0a2caed,ONLINE,100.0,UNIQUE,BTREE,NODE,[SelectQueryWhereConfig],[id],native-btree-1.0
14,idx_entity_entname,ONLINE,100.0,NONUNIQUE,BTREE,NODE,[Entity],[entname],native-btree-1.0
23,indx_entity_regstate,ONLINE,100.0,NONUNIQUE,BTREE,NODE,[Entity],[regstate],native-btree-1.0
24,uniq_abnbus_id,ONLINE,100.0,UNIQUE,BTREE,NODE,[Abnbus],[id],native-btree-1.0
